City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Daru,-9.0763,143.2092,79.34,87,100,10.07,PG,1611351610
Punta Arenas,-53.15,-70.9167,57.2,33,40,21.85,CL,1611351610
Mīzan Teferī,6.9833,35.5833,66.09,58,86,2.73,ET,1611351610
Jamestown,42.097,-79.2353,23.0,86,90,16.11,US,1611351423
Nikolskoye,59.7035,30.7861,35.6,87,40,15.66,RU,1611351611
Rikitea,-23.1203,-134.9692,78.33,74,0,13.24,PF,1611351319
Hermanus,-34.4187,19.2345,66.0,93,0,3.06,ZA,1611351611
Kruisfontein,-34.0033,24.7314,73.0,88,2,1.01,ZA,1611351611
Mataura,-46.1927,168.8643,55.99,64,100,8.99,NZ,1611351612
Saint-Pierre,-21.3393,55.4781,78.8,78,0,3.44,RE,1611351613
Yellowknife,62.456,-114.3525,-13.0,70,75,6.91,CA,1611351613
Barrow,71.2906,-156.7887,8.6,72,90,25.32,US,1611351613
Lebu,-37.6167,-73.65,64.35,67,0,20.2,CL,1611351614
Cayenne,4.9333,-52.3333,78.8,94,20,5.75,GF,1611351614
Yangi Marg`ilon,40.4272,71.7189,24.8,74,90,6.91,UZ,1611351614
Busselton,-33.65,115.3333,60.01,97,4,1.01,AU,1611351614
Bredasdorp,-34.5322,20.0403,71.6,88,0,2.3,ZA,1611351614
Thompson,55.7435,-97.8558,-7.6,77,75,9.22,CA,1611351614
Vaini,-21.2,-175.2,75.2,100,90,3.44,TO,1611351615
New Norfolk,-42.7826,147.0587,64.0,55,98,3.0,AU,1611351615
Cabo San Lucas,22.8909,-109.9124,78.8,57,75,14.97,MX,1611351354
Meulaboh,4.1363,96.1285,74.7,87,94,4.16,ID,1611351615
Puerto Ayora,-0.7393,-90.3518,80.6,78,75,6.91,EC,1611351615
Baykit,61.67,96.37,-37.93,75,100,3.65,RU,1611351615
General Pico,-35.6566,-63.7568,101.25,13,0,12.26,AR,1611351616
Westport,41.1415,-73.3579,42.01,50,42,12.15,US,1611351401
Avera,33.194,-82.5271,53.6,87,40,5.08,US,1611351616
Den Helder,52.9599,4.7593,37.0,87,90,6.91,NL,1611351616
Bluff,-46.6,168.3333,55.99,64,55,8.99,NZ,1611351616
Portland,45.5234,-122.6762,50.0,53,1,5.41,US,1611351605
Dikson,73.5069,80.5464,-16.83,90,100,5.84,RU,1611351617
Hong Kong,22.2855,114.1577,66.0,89,0,6.6,HK,1611351533
Harper,4.375,-7.7169,78.49,83,5,6.89,LR,1611351618
Pangnirtung,66.1451,-65.7125,26.6,63,75,2.3,CA,1611351618
Wukari,7.85,9.7833,75.63,20,70,4.21,NG,1611351618
Ayan,56.45,138.1667,-21.41,73,0,10.09,RU,1611351618
Aleksinac,43.5417,21.7078,48.2,66,0,6.91,RS,1611351619
Pedra Azul,-16.0053,-41.2972,67.77,85,50,6.08,BR,1611351619
Bay City,43.5945,-83.8889,21.2,53,90,13.8,US,1611351619
Tuktoyaktuk,69.4541,-133.0374,-16.6,76,75,19.57,CA,1611351620
Saldanha,-33.0117,17.9442,64.4,88,2,10.36,ZA,1611351620
Katherine,-14.4667,132.2667,77.0,94,100,3.44,AU,1611351620
Morant Bay,17.8815,-76.4093,82.99,69,20,19.57,JM,1611351620
Andros Town,24.7,-77.7667,73.4,68,75,8.05,BS,1611351621
Albany,42.6001,-73.9662,37.0,58,66,8.7,US,1611351621
Tazovsky,67.4667,78.7,-41.98,79,5,6.62,RU,1611351621
Port Elizabeth,-33.918,25.5701,73.4,94,75,11.5,ZA,1611351621
Gao,16.6362,1.637,66.79,23,94,9.75,ML,1611351621
Hirara,24.8,125.2833,71.71,91,92,19.91,JP,1611351622
Hobart,-42.8794,147.3294,64.99,48,75,11.5,AU,1611351418
Bambous Virieux,-20.3428,57.7575,80.6,78,75,9.22,MU,1611351622
Abbeville,50.1,1.8333,39.99,84,100,11.18,FR,1611351622
Airai,-8.9266,125.4092,62.78,100,100,1.92,TL,1611351623
Yelabuga,55.7613,52.0649,6.8,85,90,4.47,RU,1611351623
Tiksi,71.6872,128.8694,-38.74,81,100,8.81,RU,1611351624
Qasigiannguit,68.8193,-51.1922,23.0,46,42,4.61,GL,1611351624
Vol'sk,52.0333,47.3833,21.54,98,100,4.65,RU,1611351624
Laguna,38.421,-121.4238,54.0,82,90,5.75,US,1611351624
Green Valley,31.8543,-110.9937,64.0,49,0,15.3,US,1611351624
Carnarvon,-24.8667,113.6333,75.2,78,53,12.66,AU,1611351625
Colares,38.7992,-9.4469,55.99,86,51,13.04,PT,1611351625
Kez,57.8979,53.7152,-14.08,88,75,6.8,RU,1611351625
Kapaa,22.0752,-159.319,77.0,78,75,19.57,US,1611351625
Dalvik,65.9702,-18.5286,28.4,86,90,33.38,IS,1611351626
Makakilo City,21.3469,-158.0858,82.4,47,40,11.5,US,1611351626
Angoram,-4.0625,144.0661,75.88,95,100,1.48,PG,1611351626
