City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yangi Marg`ilon,40.4272,71.7189,24.8,50,75,4.61,UZ,1611435054
La Plata,-34.9215,-57.9545,91.99,42,0,1.99,AR,1611435054
Nanortalik,60.1432,-45.2371,23.16,88,0,7.38,GL,1611435054
Swan River,52.1058,-101.2676,5.0,78,99,9.22,CA,1611435054
Ushuaia,-54.8,-68.3,64.4,36,75,19.57,AR,1611435054
Bhor,18.1667,73.85,69.49,51,24,3.0,IN,1611435055
Atuona,-9.8,-139.0333,78.12,80,2,18.41,PF,1611435055
Palmer,42.1584,-72.3287,25.0,47,0,4.0,US,1611434991
Mareeba,-17.0,145.4333,77.0,73,66,8.05,AU,1611435055
Esim,4.8699,-2.2405,79.18,83,37,8.48,GH,1611435055
Puerto Ayora,-0.7393,-90.3518,82.4,74,40,11.5,EC,1611434836
Rikitea,-23.1203,-134.9692,78.89,66,0,9.95,PF,1611435056
Souillac,-20.5167,57.5167,78.8,83,40,2.3,MU,1611435056
Bredasdorp,-34.5322,20.0403,62.6,94,100,9.22,ZA,1611435056
Punta Arenas,-53.15,-70.9167,59.0,47,0,29.93,CL,1611435056
Hilo,19.7297,-155.09,75.2,69,90,5.03,US,1611434811
Kapaa,22.0752,-159.319,73.0,94,90,20.71,US,1611434812
Moquegua,-17.1956,-70.9353,73.87,44,7,12.12,PE,1611435057
Coralville,41.6764,-91.5805,21.0,58,90,8.05,US,1611435057
Karratha,-20.7377,116.8463,82.56,50,0,14.45,AU,1611435057
Abnūb,27.2696,31.1511,51.8,62,0,5.28,EG,1611435058
Hithadhoo,-0.6,73.0833,82.15,67,92,4.41,MV,1611435058
Arraial do Cabo,-22.9661,-42.0278,84.2,74,0,17.27,BR,1611435058
Ilulissat,69.2167,-51.1,19.4,38,20,6.91,GL,1611435058
Sal Rei,16.1833,-22.9167,71.6,68,89,14.97,CV,1611435058
Wanlaweyn,2.6185,44.8938,74.82,75,100,16.22,SO,1611435059
Norman Wells,65.282,-126.8329,-18.4,76,40,8.05,CA,1611435059
Tigil',57.8,158.6667,-6.63,91,100,0.25,RU,1611435059
Asău,46.4333,26.4,39.0,60,82,4.76,RO,1611435059
Krasne,49.9145,24.6134,37.4,93,0,4.47,UA,1611435059
Vaini,-21.2,-175.2,80.6,89,75,3.71,TO,1611435060
Daru,-9.0763,143.2092,76.75,92,100,9.91,PG,1611435060
San Patricio,28.017,-97.5169,69.8,88,90,14.97,US,1611435060
Henties Bay,-22.116,14.2845,71.01,86,100,1.77,NA,1611435060
